sample-id	Average-Total-ISD-Cells	ACE-Xi	ACE-km	ACE-Ks	H2-Xi	H2-km	H2-Ks	Digester_BD	Digester_BF	Digester_CB	Digester_CP	Digester_FD	Digester_GB	Digester_GP	Digester_JB	Digester_LP	Digester_MA	Digester_NB	Digester_NS	Digester_PC	Digester_PO	Digester_SF	Digester_SS	Digester_SW	Digester_WA	Digester_WP	Digester_WR	Source_I	Source_M	Source_P	Type_CSTR	Type_EFB	Type_EGSB	Type_Lagoon	Type_UASB	Waste_BW	Waste_Dairy	Waste_FW	Waste_HSI	Waste_MPW	Waste_MS	Waste_MS+Dairy	Waste_MS+HSI	Waste_PP	Waste_PR	Waste_SDW	Biomass_F	Biomass_G	Group
0	1330008221	0.011	2.9	0.0067	0.011	7.3	0.00012	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	Digester_NS
1	1378099456	0.012	2.9	0.0174	0.017	5.1	0.00011	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	Digester_NS
2	1373694705	0.011	3.2	0.0053	0.014	5.8	0.00014	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	Digester_NS
3	2008306112	0.012	11.3	0.038	0.001	25.4	0.00024	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_MA
4	2382526561	0.017	8.5	0.032	0.0004	34.4	0.00013	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_MA
5	1897420637	0.012	12	0.026	0.001	31.3	0.0002	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_MA
6	2476068085	0.041	25.9	0.002	0.001	99.8	0.0003	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_LP
7	1980605023	0.046	24.5	0.004	0.001	134.9	0.0003	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_LP
8	2552367273	0.039	29.1	0.006	0.001	104.8	0.00021	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_LP
9	965879403	0.017	7.8	0.004	0.003	7.5	5e-05	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_WA
10	784020510	0.018	8	0.078	0.003	7	3e-05	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_WA
11	846703071	0.023	6.5	0.019	0.003	8.8	9e-05	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_WA
18	966276998	0.024	5.7	0.018	0.001	37.4	0.00011	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	Digester_SW
19	893428329	0.042	3.3	0.013	0.0005	37.6	0.00011	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	Digester_SW
20	999495168	0.024	5.6	0.01	0.001	37.7	0.00017	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	Digester_SW
21	1478727770	0.05	4.9	0.081	0.001	30.7	0.00022	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	Digester_FD
22	1416864945	0.029	9.1	0.022	0.001	33.9	0.00013	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	Digester_FD
23	1507692252	0.032	7.9	0.018	0.001	32.5	0.00027	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	Digester_FD
24	328429884	0.001	3.8	0.01	0.018	5.5	0.0003	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	Digester_PC
25	161624739	0.001	3.6	0.01	0.022	4.8	0.0008	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	Digester_PC
26	848236596	0.057	11.4	0.0129	0.002	62.1	0.00029	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_CP
27	880049846	0.054	11.5	0.0079	0.002	65.5	0.0004	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_CP
28	2657739994	0.025	48.7	0.009	0.001	86.7	0.00023	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_WR
29	2219547860	0.037	37.6	0.001	0.002	78.9	0.00014	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_WR
30	2268637166	0.04	33.6	0.006	0.002	78.2	0.00019	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_WR
31	729027670	0.027	16.7	0.015	0.002	47.8	9e-05	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	Digester_SF
32	675845374	0.032	15.2	0.021	0.004	37.3	7e-05	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	Digester_SF
33	733787399	0.031	15.2	0.043	0.003	49.6	0.00016	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	Digester_SF
34	1830221735	0.007	5.6	0.036	0.002	39.5	0.0001	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	Digester_NB
35	1771447374	0.008	5.3	0.023	0.002	42.5	9e-05	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	Digester_NB
36	397914798	0.03	28.6	0.007	0.003	66.1	0.0005	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_GP
37	452335671	0.028	28.4	0.008	0.004	54.4	0.0006	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_GP
38	423899956	0.03	27.2	0.008	0.004	56.8	0.0005	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	Digester_GP
39	415590483	0.009	9.8	0.035	0.005	19.9	0.0002	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	Digester_WP
40	360836554	0.015	7.1	0.022	0.006	14.7	0.00025	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	Digester_WP
41	363693371	0.011	7.4	0.012	0.007	15.2	0.00032	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	Digester_WP
42	5623476107	0.013	7.7	0.04	0.001	13.5	0.00052	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_SS
43	2678852247	0.017	7	0.02	0.001	12.3	0.00051	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_SS
44	3311445066	0.009	9.3	0.02	0.001	13.4	0.00019	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	Digester_SS
45	4350977423	0.015	20	0.055	0.005	14.1	0.00025	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	Digester_PO
46	13097500000	0.016	19.2	0.055	0.005	16.3	0.00133	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	Digester_PO
47	5116428571	0.017	18.2	0.068	0.005	15.5	0.00016	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	Digester_PO
48	1022094513	0.009	9.8	0.035	0.005	19.9	0.0002	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	Digester_WP
49	1142657046	0.015	7.1	0.022	0.006	14.7	0.00025	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	Digester_WP
50	957648848	0.011	7.4	0.012	0.007	15.2	0.00032	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	Digester_WP
51	2176653095	0.03	27.2	0.008	0.003	96.1	0.00056	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	Digester_CB
52	2532078947	0.034	23.4	0.026	0.004	89.8	0.00045	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	Digester_CB
53	2310786160	0.025	29.7	0.025	0.002	89.8	0.00043	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	Digester_CB
54	1319626523	0.015	7.9	0.002	0.003	76	0.00059	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	Digester_JB
55	1352167315	0.016	7.6	0.003	0.004	65.5	0.0003	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	Digester_JB
56	1332147651	0.016	7.9	0.003	0.007	43.4	0.00031	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	Digester_JB
57	2885424604	0.008	15.9	0.032	0.002	25.2	0.00039	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	Digester_BD
58	2443024406	0.008	16	0.011	0.002	28	0.00059	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	Digester_BD
59	2542953297	0.014	13.1	0.011	0.002	25.2	0.00037	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	Digester_BD
