iter	RMSE
0	29.46186936
1	28.36865793
2	27.16813093
3	26.17969982
4	25.01144021
5	23.98020518
6	23.12484599
7	22.10428516
8	21.14612374
9	20.40859515
10	19.68262444
11	19.05201387
12	18.32538631
13	17.50404694
14	16.80025632
15	16.060504
16	15.54055633
17	14.8532301
18	14.31492259
19	13.87038283
20	13.37509446
21	12.7864242
22	12.26156788
23	11.91755107
24	11.54833102
25	11.10497199
26	10.63146639
27	10.22310181
28	9.833580821
29	9.554760822
30	9.282472084
31	8.976129716
32	8.686168195
33	8.405135767
34	8.12955883
35	7.878576228
36	7.574508189
37	7.244996923
38	7.060616774
39	6.943627545
40	6.771881413
41	6.541682023
42	6.427881782
43	6.131835916
44	5.941581616
45	5.740856426
46	5.606695562
47	5.40535196
48	5.267978325
49	5.164843483
50	5.047004826
51	4.937985625
52	4.793033757
53	4.675905502
54	4.613825731
55	4.433969047
56	4.350590659
57	4.281575926
58	4.131523455
59	4.072879554
60	3.92232622
61	3.774441673
62	3.720396066
63	3.623599913
64	3.57225947
65	3.434029071
66	3.387117912
67	3.278014409
68	3.148834066
69	3.100963127
70	3.060596838
71	2.944512033
72	2.904280012
73	2.800229869
74	2.761217579
75	2.724788005
76	2.688688741
77	2.593549881
78	2.502040019
79	2.468627801
80	2.437332773
81	2.354948326
82	2.323283066
83	2.221932216
84	2.192199907
85	2.099282635
86	2.070856437
87	2.043495122
88	1.96381657
89	1.937800775
90	1.878901379
91	1.846874045
92	1.823309655
93	1.797233394
94	1.722522466
95	1.701905598
96	1.679053634
97	1.651681677
98	1.58425081
99	1.565850842
100	1.545325408
101	1.48413816
102	1.467175137
103	1.445857335
104	1.391755205
105	1.348333833
106	1.297684765
107	1.281607305
108	1.243947996
109	1.228722945
110	1.201335585
111	1.18725436
112	1.173234264
113	1.132381003
114	1.095167249
115	1.080751302
116	1.068673376
117	1.033728035
118	1.017649929
119	0.9957200422
120	0.9787411798
121	0.9685359291
122	0.9291756749
123	0.9153751471
124	0.9022386319
125	0.8930864392
126	0.8839239704
127	0.8710943776
128	0.8624193998
129	0.8335893132
130	0.8236788122
131	0.799108818
132	0.7880872168
133	0.7574968135
134	0.7494916683
135	0.7426155808
136	0.7248490106
137	0.7181250256
138	0.6976623255
139	0.6729633832
140	0.6555125589
141	0.6419551068
142	0.6362380537
143	0.6241392607
144	0.6153794906
145	0.6100857537
146	0.5889031073
147	0.5789077048
148	0.5670884072
149	0.5589595087
150	0.5407634028
151	0.5322424647
152	0.5137183062
153	0.4982056624
154	0.4874286887
155	0.4713800162
156	0.4648115861
157	0.4539388919
158	0.4390035916
159	0.4287227099
160	0.4167704185
161	0.4083699504
162	0.4008735897
163	0.3970271363
164	0.3860283548
165	0.3736684868
166	0.3620283087
167	0.3572384649
168	0.3532384554
169	0.3417248972
170	0.3362987059
171	0.3293569057
172	0.3216915414
173	0.3170220798
174	0.3121732381
175	0.3025868939
176	0.2988536285
177	0.2882682706
178	0.2828727732
179	0.2721406076
180	0.2675307277
181	0.2620380564
182	0.258399955
183	0.2502182237
184	0.2439671942
185	0.2368698413
186	0.2288889442
187	0.2208282438
188	0.2151458459
189	0.2104593036
190	0.2048499281
191	0.1981867693
192	0.1932939593
193	0.1875659119
194	0.1846797659
195	0.1803527136
196	0.1753042329
197	0.1693130368
198	0.1654760756
199	0.1633396752
