iter	Passed	Remaining
0	3	607
1	5	527
2	7	500
3	10	526
4	13	515
5	15	504
6	18	500
7	21	517
8	24	510
9	26	503
10	29	499
11	31	495
12	34	490
13	37	493
14	39	489
15	42	486
16	44	481
17	47	477
18	49	473
19	52	469
20	54	465
21	57	462
22	59	459
23	62	455
24	64	452
25	66	448
26	69	444
27	71	441
28	74	437
29	76	436
30	79	433
31	82	430
32	84	428
33	87	424
34	89	422
35	91	416
36	94	414
37	96	411
38	99	409
39	100	403
40	103	401
41	105	398
42	108	395
43	110	392
44	113	390
45	115	387
46	118	384
47	120	381
48	122	378
49	125	376
50	128	374
51	131	373
52	133	370
53	136	367
54	138	365
55	141	363
56	143	360
57	146	359
58	149	356
59	151	354
60	154	351
61	156	348
62	159	345
63	161	343
64	163	340
65	166	337
66	168	335
67	171	332
68	174	331
69	177	328
70	179	326
71	182	323
72	184	321
73	187	318
74	189	315
75	192	313
76	194	310
77	197	308
78	199	306
79	202	303
80	204	301
81	208	299
82	210	297
83	213	294
84	215	292
85	218	289
86	220	286
87	223	283
88	226	282
89	228	279
90	231	276
91	233	274
92	236	271
93	238	269
94	241	266
95	243	263
96	246	261
97	248	258
98	250	255
99	253	253
100	255	250
101	258	248
102	260	245
103	263	243
104	265	240
105	268	237
106	270	235
107	273	232
108	275	230
109	278	227
110	280	224
111	282	222
112	285	219
113	287	217
114	290	214
115	293	212
116	295	209
117	298	207
118	300	204
119	303	202
120	305	199
121	308	197
122	310	194
123	314	192
124	316	190
125	319	187
126	321	184
127	324	182
128	326	179
129	329	177
130	331	174
131	334	172
132	336	169
133	339	166
134	341	164
135	344	161
136	346	159
137	349	156
138	352	154
139	354	152
140	357	149
141	359	146
142	362	144
143	364	141
144	367	139
145	369	136
146	372	134
147	374	131
148	377	129
149	379	126
150	381	123
151	384	121
152	386	118
153	389	116
154	391	113
155	394	111
156	396	108
157	399	106
158	401	103
159	404	101
160	406	98
161	409	96
162	411	93
163	414	90
164	416	88
165	419	85
166	421	83
167	424	80
168	426	78
169	429	75
170	431	73
171	434	70
172	436	68
173	438	65
174	441	63
175	444	60
176	446	58
177	449	55
178	451	52
179	453	50
180	456	47
181	458	45
182	461	42
183	463	40
184	466	37
185	468	35
186	471	32
187	473	30
188	476	27
189	478	25
190	481	22
191	484	20
192	486	17
193	489	15
194	491	12
195	494	10
196	497	7
197	499	5
198	502	2
199	505	0
